Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
ca-AstroPh, 1.979392, 512.364187, 2.282496, 444.324814, 1.815552, 558.601242
ca-CondMat, 1.275904, 375.072214, 1.581056, 302.681347, 1.100800, 434.734869
ca-HepPh, 1.457152, 416.391424, 1.397760, 434.084239, 1.273856, 476.306254
ca2010, 35.304447, 253.021295, 28.707840, 311.161584, 19.660801, 454.344510
cage10, 0.807936, 477.328890, 1.024000, 376.612482, 0.680960, 566.334587
cage11, 2.808832, 510.136724, 3.274752, 437.556298, 2.086912, 686.606995
cage12, 10.065920, 516.921675, 11.819008, 440.247795, 7.107584, 732.076070
cage13, 41.120770, 465.631318, 43.964417, 435.513982, 26.718208, 716.631814
cage14, 160.633850, 432.372712, 162.110458, 428.434378, 101.645309, 683.294623
cage15, -1.000000, -253950.850560, 608.855042, 417.095751, 394.400757, 643.890373
caidaRouterLevel, 9.622528, 324.074702, 10.242048, 304.472098, 7.559168, 412.534551
cant, 13.686784, 749.547932, 15.060992, 681.157012, 12.192768, 841.392242
case39, 34.085888, 78.270797, 4.893696, 545.176834, 3.923968, 679.906041
case9, 9.555968, 39.641019, 1.047552, 361.612907, 1.122304, 337.527383
cat_ears_4_4, 1.063936, 319.749761, 1.417216, 240.043362, 0.809984, 419.999985
cbuckle, 2.398208, 722.155238, 2.473984, 700.036216, 2.510848, 689.758348
cca, 1.906688, 186.981743, 1.960960, 181.806786, 1.129472, 315.648227
ccc, 1.750016, 215.705094, 1.935360, 195.047624, 1.241088, 304.158408
cfd1, 6.641664, 704.734810, 7.623680, 613.957009, 5.414912, 864.392929
cfd2, 11.191296, 706.354219, 12.554240, 629.669238, 9.030656, 875.353795
ch7-7-b5, 1.641472, 330.131008, 1.998848, 271.106563, 1.264640, 428.502033
ch7-8-b3, 1.934336, 311.275816, 1.988608, 302.780638, 1.137664, 529.252944
ch7-8-b4, 5.923840, 304.926532, 5.117952, 352.941185, 3.710976, 486.754982
ch7-8-b5, 6.072320, 356.964588, 6.388736, 339.285154, 4.178944, 518.696384
ch7-9-b3, 3.444736, 314.625446, 3.067904, 353.271029, 1.900544, 570.258606
ch7-9-b4, 13.135872, 309.401312, 11.123712, 365.368696, 8.082432, 502.850640
ch7-9-b5, 17.971201, 361.846135, 18.225151, 356.804154, 11.693056, 556.125750
ch8-8-b3, 3.802112, 316.725012, 3.389440, 355.287003, 2.105344, 571.984420
ch8-8-b4, 15.550464, 309.758995, 14.907392, 323.121318, 9.532416, 505.317417
ch8-8-b5, 23.853056, 363.492746, 23.699455, 365.848611, 15.553536, 557.456039
channel-500x100x100-b050, -1.000000, -218528.624640, 431.670258, 506.239707, 255.042557, 856.832003
chem_master1, 1.779712, 289.414563, 1.776640, 289.914976, 1.149952, 447.909596
chipcool0, 1.525760, 471.728171, 1.831936, 392.887087, 1.358848, 529.672202
chipcool1, 1.539072, 467.648026, 1.819648, 395.540230, 1.360896, 528.875097
circuit5M, -1.000000, -152382.184960, 461.205505, 330.399753, 335.474701, 454.228544
