Dataset,ASpT,Sputnik,RoDe
copter1,0.084096,0.386624,0.053248
copter2,0.085312,1.200160,0.079872
crankseg_1,11.855872,0.678112,0.063488
crankseg_2,13.514752,0.390720,0.060416
crashbasis,0.101472,0.882816,0.064512
crplat2,4.550368,0.405824,0.054272
crystk02,4.460544,0.396288,0.055296
crystk03,5.624832,0.401536,0.053248
crystm02,0.091808,0.386048,0.060416
crystm03,0.098592,0.390240,0.055296
ct2010,0.077088,0.889088,0.060416
ct20stif,6.544384,0.920160,0.058368
cvxbqp1,0.075712,0.398048,0.057344
cvxqp3,0.072224,0.385632,0.052224
cyl6,5.855520,0.430080,0.073728
cz10228,0.071712,0.391168,0.052224
cz20468,0.073472,0.391552,0.053248
cz40948,0.085056,0.388512,0.055296
d_pretok,0.085792,0.870368,0.064512
darcy003,0.105792,1.354976,0.073728
dawson5,0.086848,0.928320,0.059392
dbic1,4.829184,0.908832,0.058368
dbir1,11.830272,0.408160,0.056320
dbir2,5.932032,0.419072,0.056320
dblp-2010,0.115392,1.392288,0.071680
dc1,7.612416,0.915104,0.075776
dc2,5.782528,0.913568,0.072704
dc3,5.847040,0.925728,0.076800
de2010,0.073600,0.904992,0.055296
debr,0.122464,1.410880,0.098304
degme,14.541824,0.940448,0.138240
delaunay_n15,0.074976,0.394368,0.053248
delaunay_n16,0.079808,0.390400,0.057344
delaunay_n17,0.077696,0.888704,0.062464
delaunay_n18,0.088288,1.358400,0.070656
delaunay_n19,0.110304,7.688128,0.105472
delaunay_n20,0.147712,1.398272,0.098304
delaunay_n21,0.213088,1.532064,0.145408
delaunay_n22,0.352896,1.873376,0.244736
deltaX,0.114208,0.898208,0.057344
denormal,0.091648,0.891168,0.061440
dictionary28,0.075488,0.440992,0.055296
dielFilterV2clx,0.262144,2.669984,0.090112
dielFilterV2real,0.411648,1.973408,0.112640
dielFilterV3clx,17.473536,1.941632,0.081920
dielFilterV3real,33.779713,2.177888,0.112640
dixmaanl,0.077056,0.404928,0.056320
e18,0.083808,0.388448,0.054272
e40r0100,0.121856,0.396480,0.055296
ecl32,0.076512,0.393024,0.057344
ecology1,0.127936,1.400480,0.141312
ecology2,0.134272,1.418912,0.103424
email-Enron,4.422656,0.416992,0.056320
email-EuAll,0.153152,1.421312,0.070656
engine,0.183296,0.919776,0.068608
enron,4.431872,0.454208,0.056320
epb2,0.090720,0.397376,0.052224
epb3,0.076960,0.393504,0.059392
eu-2005,14.648320,2.568960,0.092160
ex11,4.633600,0.410112,0.056320
ex19,0.081184,0.397312,0.052224
ex35,0.074144,0.393312,0.053248
fcondp2,11.072512,0.909344,0.070656
fe_body,0.073568,0.454560,0.054272
fe_ocean,0.085280,0.900672,0.065536
fe_rotor,0.093056,0.910080,0.062464
fe_tooth,0.089056,0.401184,0.060416
fem_filter,5.666816,0.406336,0.060416
fem_hifreq_circuit,15.648768,1.313312,0.081920
filter3D,0.104160,0.808032,0.062464
finan512,0.077408,0.389760,0.059392
finance256,0.073472,0.595360,0.057344
fl2010,0.104096,1.381984,0.078848
flickr,22.465536,1.449792,0.093184
flower_7_4,0.077696,0.387968,0.053248
flower_8_4,0.087232,0.396512,0.055296
foldoc,0.082016,0.389120,0.052224
fome12,0.074304,0.400352,0.053248
fome13,0.082784,0.402368,0.055296
fome20,0.087296,0.452288,0.054272
fome21,0.093792,0.950880,0.061440
ford1,0.071264,0.386208,0.052224
ford2,0.086112,0.882144,0.061440
fullb,11.000832,0.929376,0.072704
fxm3_16,0.080928,0.393856,0.055296
fxm4_6,0.121856,0.403200,0.055296
g7jac040,0.103424,0.406528,0.051200
g7jac040sc,0.103424,0.402432,0.051200
g7jac050sc,0.103424,0.391168,0.052224
g7jac060,0.111616,0.401472,0.053248
