Dataset,no_blocksplit_time,no_blockSplit_gflops,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
amazon-2008, 21.984257, 600.678633, 22.052864, 598.809898, 21.955584, 601.463096
amazon0302, 7.127040, 443.562146, 7.130112, 443.371022, 7.104512, 444.968637
amazon0312, 15.629312, 524.215438, 15.629312, 524.215438, 15.599616, 525.213337
amazon0505, 16.280577, 527.835690, 16.284672, 527.702956, 16.248833, 528.866879
amazon0601, 16.413696, 528.321782, 16.445440, 527.301983, 16.393215, 528.981849
apache1, 2.409472, 576.056101, 2.414592, 574.834599, 2.380800, 582.993546
apache2, 18.558975, 664.570487, 18.549761, 664.900605, 18.514944, 666.150929
appu, 7.784448, 609.413301, 7.766016, 610.859704, 7.209984, 657.969054
ar2010, 4.945920, 468.069359, 4.930560, 469.527508, 4.921344, 470.406802
as-Skitter, 255.694855, 222.170782, 111.682564, 508.655280, 109.538307, 518.612413
as-caida, 8.376320, 32.628974, 2.440192, 112.003777, 1.300480, 210.161416
astro-ph, 1.750016, 354.742545, 1.766400, 351.452178, 1.072128, 579.040084
atmosmodd, 40.389633, 558.710021, 40.427521, 558.186413, 40.371201, 558.965116
atmosmodj, 40.443905, 557.960288, 40.398849, 558.582561, 40.366081, 559.036005
atmosmodl, 47.267841, 558.912463, 47.258625, 559.021461, 47.207424, 559.627772
atmosmodm, 47.281151, 558.755131, 47.279102, 558.779340, 47.201279, 559.700634
audikw_1, 220.541946, 901.364713, 220.690430, 900.758264, 234.076157, 849.248087
aug3dcqp, 0.962560, 340.731384, 0.967680, 338.928579, 0.954368, 343.656118
auto, 35.916801, 472.503331, 35.935230, 472.261015, 35.886082, 472.907810
av41092, 9.785344, 440.535260, 5.894144, 731.368130, 5.601280, 769.607832
az2010, 7.000064, 437.424670, 7.016448, 436.403239, 7.001088, 437.360676
barrier2-1, 48.433151, 201.122038, 14.279680, 682.156316, 14.087168, 691.478533
barrier2-10, 56.491009, 176.625381, 14.619648, 682.488794, 14.448640, 690.566448
barrier2-11, 56.830975, 175.568798, 14.669824, 680.154456, 14.453760, 690.321814
barrier2-12, 56.681473, 176.031875, 14.633984, 681.820220, 14.448640, 690.566448
barrier2-2, 48.688129, 200.068768, 14.281728, 682.058517, 14.089216, 691.377996
barrier2-3, 49.061890, 198.544617, 14.299136, 681.228150, 14.093312, 691.177056
barrier2-4, 48.711681, 199.972036, 14.278656, 682.205249, 14.084096, 691.629346
barrier2-9, 56.453121, 176.743920, 14.636032, 681.724790, 14.445568, 690.713294
bauru5727, 1.041408, 356.487237, 1.034240, 358.957918, 1.014784, 365.840068
baxter, 10.090496, 28.307286, 2.375680, 120.232760, 1.284096, 222.440191
bayer01, 1.541120, 461.418589, 1.568768, 453.286546, 1.531904, 464.194524
bayer04, 0.803840, 506.630585, 0.804864, 505.986012, 0.793600, 513.167727
bbmat, 4.836352, 937.816032, 4.838400, 937.419069, 5.093376, 890.491528
bcircuit, 1.932288, 497.559605, 1.932288, 497.559605, 1.906688, 504.240071
bcsstk17, 1.658880, 661.496915, 1.645568, 666.848159, 1.385472, 792.036182
bcsstk18, 0.710656, 537.067733, 0.718848, 530.947301, 0.709632, 537.842728
bcsstk25, 1.024000, 630.602470, 1.027072, 628.716380, 1.014784, 636.329479
bcsstk29, 1.869824, 848.148936, 1.872896, 846.757811, 1.982464, 799.958695
bcsstk30, 6.341632, 824.920085, 6.291456, 831.498994, 6.394880, 818.051264
bcsstk31, 3.686400, 820.427792, 3.585024, 843.627507, 3.812352, 793.322601
bcsstk32, 5.901312, 873.981018, 5.891072, 875.500204, 6.365184, 810.288390
bcsstk35, 4.616192, 804.216417, 4.624384, 802.791753, 4.624384, 802.791753
bcsstk36, 3.625984, 807.074283, 3.612672, 810.048166, 3.654656, 800.742519
bcsstk37, 3.343360, 873.642433, 3.341312, 874.177922, 3.627008, 805.319743
bcsstk39, 6.722560, 795.618439, 6.359040, 841.100673, 6.702080, 798.049683
bcsstm36, 1.262592, 650.052739, 1.266688, 647.950693, 1.221632, 671.848280
belgium_osm, 26.442753, 300.114230, 26.518528, 299.256671, 26.365952, 300.988432
bfly, 1.128448, 446.025405, 1.117184, 450.522439, 1.085440, 463.698096
blockqp1, 215.543808, 7.601631, 4.610048, 355.415940, 2.562048, 639.521393
bloweya, 29.630465, 12.960412, 2.631680, 145.923151, 1.295360, 296.460481
bloweybl, 29.372416, 10.458793, 2.476032, 124.069478, 1.307648, 234.925617
bmw3_2, 32.277504, 895.326133, 32.289791, 894.985437, 35.231743, 820.251582
bmw7st_1, 20.800512, 903.321382, 20.806656, 903.054658, 22.751232, 825.869447
bmwcra_1, 29.571072, 921.462890, 29.601791, 920.506626, 31.623169, 861.667127
bodyy4, 0.644096, 484.650226, 0.636928, 490.104485, 0.613376, 508.923188
bodyy5, 0.662528, 499.540202, 0.660480, 501.089130, 0.653312, 506.586969
bodyy6, 0.709632, 486.103910, 0.712704, 484.008619, 0.708608, 486.806378
bone010, 192.112640, 954.990737, 192.265213, 954.232901, 205.348862, 893.434668
boneS01, 19.482624, 882.365182, 19.503103, 881.438656, 21.131264, 813.523949
boneS10, 154.244095, 920.613269, 154.374146, 919.837709, 166.109177, 854.854399
boyd1, 496.241669, 6.248470, 6.002688, 516.560480, 5.498880, 563.887812
boyd2, 560.975891, 6.847026, 12.926976, 297.131847, 12.987392, 295.749616
brack2, 2.973696, 631.127756, 2.947072, 636.829389, 2.915328, 643.763605
brainpc2, 41.107456, 11.171968, 2.521088, 182.163899, 1.418240, 323.817701
bratu3d, 0.899072, 494.863330, 0.893952, 497.697588, 0.884736, 502.881944
bundle1, 6.450176, 305.961672, 2.995200, 658.889761, 2.494464, 791.154582
bundle_adj, 95.739906, 540.345323, 59.565056, 868.506036, 61.789185, 837.243782
c-42, 3.990528, 70.749934, 1.847296, 152.833980, 1.034240, 272.982671
c-43, 7.905280, 40.050194, 1.917952, 165.076086, 0.995328, 318.094133
c-45, 6.972416, 64.051991, 2.021376, 220.937195, 1.215488, 367.422085
c-46, 4.377600, 76.255552, 2.060288, 162.024109, 1.112064, 300.177255
c-47, 6.279168, 86.187621, 2.189312, 247.194810, 1.282048, 422.126602
c-48, 3.191808, 133.205005, 2.088960, 203.529418, 1.096704, 387.675068
c-49, 5.083136, 79.090450, 2.197504, 182.947340, 1.112064, 361.514732
c-50, 6.245376, 79.367518, 2.413568, 205.372294, 1.273856, 389.117752
c-51, 5.246976, 99.068113, 2.358272, 220.419012, 1.303552, 398.762755
c-52, 5.516288, 94.076484, 2.367488, 219.199836, 1.307648, 396.859845
c-53, 13.745152, 69.323733, 2.694144, 353.680158, 1.807360, 527.213866
c-54, 6.356992, 157.737200, 2.866176, 349.850853, 1.727488, 580.457900
c-55, 9.761792, 105.803523, 3.001344, 344.123170, 1.879040, 549.659400
c-56, 5.722112, 170.409801, 3.016704, 323.234886, 1.800192, 541.666667
c-57, 32.493568, 31.923373, 3.191808, 324.989575, 2.034688, 509.810016
c-58, 18.613249, 75.996723, 3.915776, 361.242807, 2.231296, 633.957073
c-59, 12.081152, 101.825733, 3.747840, 328.234979, 2.078720, 591.793077
c-60, 7.585792, 100.762013, 2.869248, 266.397224, 1.602560, 476.961648
c-61, 9.132032, 86.907375, 2.966528, 267.531935, 1.617920, 490.531633
c-62, 19.870720, 72.061711, 4.250624, 336.872426, 2.276352, 629.040730
c-62ghs, 20.073471, 71.333855, 4.244480, 337.360062, 2.278400, 628.475296
c-63, 12.453888, 89.357014, 3.586048, 310.325538, 1.925120, 578.063831
c-64, 35.772415, 51.371230, 4.194304, 438.135377, 2.705408, 679.259060
c-64b, 35.764225, 51.382994, 4.197376, 437.814734, 2.690048, 683.137615
c-65, 11.168768, 82.636839, 3.163136, 291.783748, 1.775616, 519.792373
c-66, 21.013504, 60.792237, 4.121600, 309.942225, 2.177024, 586.790952
c-66b, 21.176319, 60.324833, 4.121600, 309.942225, 2.174976, 587.343426
c-67, 10.873856, 125.231900, 4.346880, 313.271499, 2.390016, 569.767548
c-67b, 10.883072, 125.125848, 4.350976, 312.976583, 2.384896, 570.990759
c-68, 12.726272, 113.857020, 4.331520, 334.518906, 2.617344, 553.605263
c-69, 21.099520, 75.706140, 4.702208, 339.704919, 2.743296, 582.278855
c-70, 23.234560, 72.607536, 4.962304, 339.963880, 2.916352, 578.463828
c-71, 34.743298, 63.334755, 5.616640, 391.774834, 3.629056, 606.344530
c-72, 27.048960, 66.965551, 5.266432, 343.942264, 3.294208, 549.858556
c-73, 142.380035, 23.001409, 8.016896, 408.504905, 6.892544, 475.142638
c-73b, 148.239365, 22.092252, 8.015872, 408.557103, 6.903808, 474.367390
c-big, 115.110909, 52.062730, 12.750848, 470.007034, 12.678144, 472.702309
ca-AstroPh, 2.679808, 378.448619, 2.768896, 366.272176, 1.999872, 507.117263
ca-CondMat, 1.553408, 308.068551, 1.577984, 303.270608, 1.246208, 384.009875
ca-HepPh, 1.976320, 307.007768, 1.984512, 305.740458, 1.307648, 463.997671
ca2010, 19.762177, 452.013823, 19.643393, 454.747159, 19.648512, 454.628677
cage10, 0.687104, 561.270503, 0.686080, 562.108226, 0.666624, 578.513817
cage11, 2.097152, 683.254396, 2.209792, 648.426814, 2.058240, 696.171663
cage12, 7.070720, 735.892811, 7.113728, 731.443784, 7.088128, 734.085515
cage13, 26.756096, 715.617038, 26.745855, 715.891036, 26.714111, 716.741719
