Dataset,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
bcsstk18, 0.235520, 405.135861, 0.227328,419.735356
bcsstk25, 0.290816, 555.107817, 0.281600,573.275003
bcsstk29, 0.882688, 449.164740, 0.867328,457.119251
bcsstk30, 2.421760, 540.034865, 2.177024,600.744387
bcsstk31, 1.467392, 515.272168, 1.455104,519.623507
bcsstk32, 2.952192, 436.763127, 2.930688,439.967913
bcsstk35, 2.077696, 446.698787, 2.062336,450.025764
bcsstk36, 1.632256, 448.219879, 1.745920,419.039603
bcsstk37, 1.607680, 454.210600, 1.599488,456.536886
bcsstk39, 3.478528, 384.400572, 3.457024,386.791680
bcsstm36, 0.370688, 553.532471, 0.539648,380.225335
belgium_osm, 6.833152, 290.343556, 6.808576,291.391558
bfly, 0.277504, 453.431739, 0.261120,481.882369
blockqp1, 0.515072, 795.269651, 0.496640,824.784799
bloweya, 0.247808, 387.419947, 0.229376,418.551892
bloweybl, 0.225280, 340.909088, 0.218112,352.112665
bmw3_2, 16.225281, 445.275697, 16.160769,447.053195
bmw7st_1, 10.514432, 446.756125, 10.464256,448.898302
bmwcra_1, 12.396544, 549.520982, 12.293120,554.144193
bodyy4, 0.187392, 416.454926, 0.178176,437.995688
bodyy5, 0.199680, 414.362178, 0.190464,434.411951
bodyy6, 0.201728, 427.499997, 0.193536,445.595242
bone010, 79.379456, 577.812580, 64.321533,713.080763
boneS01, 8.962048, 479.544127, 8.898560,482.965501
boneS10, 67.199997, 528.270710, 66.785278,531.551129
boyd1, 0.971776, 797.702179, 0.948224,817.515517
boyd2, 2.732032, 351.479799, 2.715648,353.600357
brack2, 0.750592, 625.100619, 0.730112,642.634979
brainpc2, 0.235520, 487.486402, 0.225280,509.644882
bratu3d, 0.234496, 474.334066, 0.219136,507.581776
bundle1, 0.556032, 887.316986, 0.541696,910.799838
bundle_adj, 14.984192, 863.119795, 14.958592,864.596901
c-42, 0.178176, 396.138648, 0.167936,420.293452
c-43, 0.175104, 452.028490, 0.161792,489.220742
c-45, 0.174080, 641.367650, 0.163840,681.453142
c-46, 0.229376, 363.830910, 0.215040,388.086313
c-47, 0.296960, 455.605609, 0.300032,450.940715
c-48, 0.276480, 384.444459, 0.260096,408.661396
c-49, 0.268288, 374.623110, 0.262144,383.403321
c-50, 0.307200, 403.385398, 0.285696,433.747760
c-51, 0.296960, 437.607764, 0.288768,450.022173
c-52, 0.299008, 433.895531, 0.287744,450.880805
c-53, 0.325632, 731.550694, 0.310272,767.766069
c-54, 0.359424, 697.459055, 0.371712,674.402550
c-55, 0.473088, 545.792753, 0.460800,560.347232
c-56, 0.391168, 623.200264, 0.386048,631.465535
c-57, 0.354304, 731.931026, 0.350208,740.491563
c-58, 0.534528, 661.586425, 0.517120,683.857668
c-59, 0.563200, 546.063639, 0.548864,560.326485
c-60, 0.398336, 479.720445, 0.384000,497.629996
c-61, 0.382976, 518.074872, 0.382976,518.074872
c-62, 0.658432, 543.684870, 0.632832,565.678609
c-62ghs, 0.653312, 547.945706, 0.629760,568.437984
c-63, 0.491520, 566.020848, 0.473088,588.073598
c-64, 0.545792, 841.746038, 0.536576,856.203526
c-64b, 0.579584, 792.668945, 0.537600,854.572650
c-65, 0.433152, 532.695048, 0.431104,535.225648
c-66, 0.521216, 612.729646, 0.510976,625.008747
c-66b, 0.518144, 616.362388, 0.505856,631.334795
c-67, 0.567296, 600.107145, 0.504832,674.359748
c-67b, 0.526336, 646.808105, 0.496640,685.483252
c-68, 0.736256, 492.007995, 0.701440,516.428849
c-69, 0.766976, 520.669226, 0.743424,537.164257
c-70, 0.831488, 507.224438, 0.802816,525.339622
c-71, 1.095680, 502.075935, 1.073152,512.615722
c-72, 0.875520, 517.220766, 0.860160,526.456849
c-73, 1.340416, 610.806934, 1.319936,620.284118
c-73b, 1.336320, 612.679099, 1.318912,620.765708
c-big, 2.814976, 532.241501, 2.802688,534.575059
ca-AstroPh, 0.494592, 512.629388, 0.488448,519.077575
ca-CondMat, 0.324608, 368.564671, 0.317440,376.887093
ca-HepPh, 0.338944, 447.526451, 0.319488,474.779664
ca2010, 4.899840, 455.768820, 4.877312,457.873959
cage10, 0.223232, 431.895067, 0.217088,444.118516
cage11, 0.473088, 757.199681, 0.455680,786.126383
cage12, 1.548288, 840.168657, 1.526784,852.002044
cage13, 5.620736, 851.628580, 5.567488,859.773627
cage14, 21.650433, 801.989673, 21.629951,802.749067
cage15, 87.227394, 727.841446, 69.987328,907.131546
caidaRouterLevel, 1.952768, 399.230473, 1.910784,408.002410
cant, 5.083136, 504.555668, 5.010432,511.877068
case39, 1.516544, 439.804191, 1.501184,444.304233
case9, 0.195584, 484.201573, 0.187392,505.368862
cat_ears_4_4, 0.235520, 361.108688, 0.215040,395.500003
cbuckle, 0.998400, 433.663473, 0.987136,438.611901
cca, 0.279552, 318.827824, 0.263168,338.677034
ccc, 0.549888, 171.620107, 0.266240,354.461537
