Dataset,ASpT_time,ASpT_gflops
memchip,31.518017,300.733683
memplus,0.961536,83.965656
mi2010,3.747264,269.524011
minsurfo,0.426848,305.303250
mip1,8.437760,785.256263
mixtank_new,2.109440,605.291540
mk12-b3,0.399200,333.306620
mk12-b4,0.774208,257.791185
mk13-b5,1.862528,278.609723
mn2010,2.986528,262.962645
mo2010,3.984768,266.064058
mod2,1.187552,107.682361
mono_500Hz,6.611968,487.483348
mouse_gene,31.176704,594.644835
mri1,0.913376,413.288033
mri2,0.845760,430.692401
ms2010,2.068320,259.914902
msc10848,1.335296,589.425790
msc23052,1.293312,571.463797
msdoor,22.534143,574.869794
mt2010,1.650080,247.713764
mult_dcop_01,0.734208,168.476293
mult_dcop_02,0.738304,167.541605
mult_dcop_03,0.732160,168.895111
n4c6-b10,2.458048,379.207420
n4c6-b11,1.367904,388.715012
n4c6-b12,0.521696,408.348179
n4c6-b5,0.474208,419.566775
n4c6-b6,1.386112,336.506147
n4c6-b7,2.336832,357.604134
n4c6-b8,3.157984,362.774223
n4c6-b9,3.135040,380.847193
nasasrb,2.815968,608.489634
nc2010,3.503552,258.776468
ncvxbqp1,0.713344,313.985296
ncvxqp3,1.118944,285.963324
ncvxqp5,0.931936,291.842179
ncvxqp7,1.325984,277.511403
nd12k,11.931648,762.795319
nd2010,1.613920,248.218900
nd24k,24.409088,752.916523
nd6k,5.737472,769.377558
ne2010,2.269440,257.714051
neos,4.537408,215.353829
neos1,1.548480,247.815659
neos2,1.461664,299.970234
neos3,15.904000,82.697141
net100,2.079744,625.676976
net125,2.605056,633.156435
net150,3.175424,629.071248
net4-1,3.235840,482.936499
net50,0.987136,612.811199
net75,1.546240,616.390740
netherlands_osm,19.209921,162.665149
nh2010,0.621184,241.654650
nj2010,2.004192,265.016351
nlpkkt120,101.463005,610.875923
nlpkkt80,30.136896,609.584676
nm2010,2.118848,250.995248
nmos3,0.417120,593.163009
ns3Da,2.337792,459.811393
nsct,1.370112,325.923967
nug08-3rd,0.243072,390.774087
nv2010,1.137888,234.538663
