Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
oh2010, 13917.694336, 0.325247, 4.942848,915.806881
ohne2, 3453.284424, 8.201663, 17.687551,1601.277328
oilpan, 574.976013, 16.015975, 5.383168,1710.665709
ok2010, 7554.094238, 0.431795, 3.678208,886.795630
olafu, 29.066240, 89.409546, 1.314816,1976.549847
olesnik0, 815.214600, 2.337045, 1.673216,1138.641381
onera_dual, 765.391846, 1.402098, 1.267712,846.528677
onetone1, 136.802307, 6.382826, 0.749568,1164.918055
onetone2, 136.700928, 4.262792, 0.670720,868.809185
opt1, 27.843584, 177.508642, 2.533376,1950.944843
or2010, 4034.302979, 0.621557, 2.823168,888.204558
p010, 20.312063, 14.871951, 0.357376,845.272184
p2p-Gnutella31, 408.849396, 0.926022, 0.768000,492.973329
pa2010, 18527.562500, 0.284423, 5.719040,921.424364
packing-500x100x100-b050, 0.005120, 17488243.441790, 51.606529,1735.047977
para-10, 2549.169189, 5.439371, 10.189824,1360.757196
para-4, 2462.267334, 5.537637, 9.851904,1384.011029
para-5, 2549.161865, 5.439386, 10.021888,1383.559344
para-6, 2549.165039, 5.439380, 10.022912,1383.417957
para-7, 2549.156982, 5.439397, 10.017792,1384.125048
para-8, 2549.160889, 5.439389, 10.017792,1384.125048
para-9, 2549.190674, 5.439325, 10.020864,1383.700759
parabolic_fem, 28827.480469, 0.326322, 13.111296,717.476000
patents, 0.005120, 7485383.689097, 67.585022,567.065933
patents_main, 6033.882324, 0.237992, 2.368512,606.293796
pattern1, 50.822144, 469.637529, 15.636480,1526.429568
pcrystk02, 21.788671, 113.800994, 1.191936,2080.289920
pcrystk03, 67.095551, 66.815395, 2.297856,1950.955804
pct20stif, 291.725311, 23.680034, 3.755008,1839.693900
pdb1HYS, 147.440643, 75.437804, 5.792768,1920.083524
pds-100, 8382.785156, 0.334706, 4.087808,686.373976
pds-30, 826.697754, 1.054830, 1.374208,634.565959
pds-40, 1518.327759, 0.787055, 1.802240,663.068177
pds-50, 2390.299561, 0.632779, 2.247680,672.930539
pds-60, 3489.955811, 0.527819, 2.708480,680.110616
pds-70, 4675.012695, 0.456399, 3.112960,685.415274
pds-80, 5854.628906, 0.405702, 3.491840,680.224362
pds-90, 7080.636230, 0.366660, 3.772416,688.203019
pds10, 29.027328, 13.198751, 0.404480,947.202508
pfinan512, 585.058289, 2.612218, 1.440768,1060.753373
pkustk01, 52.563969, 47.698316, 1.362944,1839.556715
pkustk02, 13.814784, 150.100066, 0.977920,2120.418857
pkustk03, 424.903687, 18.860427, 4.170752,1921.443631
pkustk04, 330.431488, 32.683839, 5.677056,1902.353951
pkustk05, 148.779007, 37.943314, 3.027968,1864.342282
pkustk06, 199.788544, 32.953471, 3.519488,1870.648770
pkustk07, 33.553410, 184.545723, 3.337216,1855.480264
pkustk08, 57.246719, 144.292596, 4.424704,1866.854285
pkustk09, 123.657219, 32.785133, 2.122752,1909.840854
pkustk10, 687.311890, 16.049481, 5.640192,1955.784303
pkustk11, 815.702026, 16.375900, 7.095296,1882.635326
pkustk12, 948.468750, 20.276400, 10.189824,1887.327134
pkustk13, 954.320923, 17.749875, 9.242624,1832.712940
pkustk14, 2437.459961, 15.582389, 20.308992,1870.178959
pli, 56.365055, 61.328620, 1.945600,1776.722338
pltexpa, 198.082565, 1.848881, 0.694272,527.503701
poisson3Da, 19.693567, 45.856127, 0.677888,1332.182826
poisson3Db, 770.926575, 7.886444, 4.812800,1263.270763
pre2, 45274.773438, 0.336959, 11.682816,1305.829220
preferentialAttachment, 1046.260742, 2.446735, 2.795520,915.723421
psse0, 31.329281, 8.369995, 0.292864,895.384631
psse2, 33.577984, 8.787625, 0.384000,768.413327
pwt, 140.365829, 5.947558, 0.754688,1106.197386
pwtk, 4971.615234, 5.990835, 15.087616,1974.077648
qa8fk, 459.286530, 9.255839, 2.292736,1854.152480
qa8fm, 459.290619, 9.255757, 2.288640,1857.470899
raefsky3, 50.171906, 75.963750, 1.936384,1968.228489
raefsky4, 43.394047, 78.380433, 1.768448,1923.293288
rail_20209, 43.150337, 8.260341, 0.378880,940.763528
rail_79841, 667.351013, 2.124875, 1.339392,1058.717550
rajat09, 63.169537, 4.278437, 0.464896,581.349127
rajat10, 95.910912, 3.477974, 0.560128,595.534763
rajat15, 146.213882, 7.766341, 0.915456,1240.416671
rajat16, 929.612793, 1.765646, 1.576960,1040.842554
rajat17, 929.609741, 1.765652, 1.579008,1039.492553
rajat18, 929.257446, 1.336515, 1.412096,879.519565
rajat20, 790.265869, 1.959993, 1.470464,1053.351329
rajat21, 17668.312500, 0.274334, 5.353472,905.398775
rajat22, 167.064575, 3.022758, 0.680960,741.593985
rajat23, 1272.234009, 1.120675, 1.598464,891.957072
rajat24, 13376.527344, 0.372853, 5.159936,966.578199
rajat25, 795.107300, 1.955109, 1.481728,1049.127535
rajat26, 272.872437, 2.338870, 0.826368,772.311053
rajat28, 795.103210, 1.955119, 1.484800,1046.956910
rajat29, 43228.281250, 0.288183, 11.654144,1068.946024
rajat30, 43232.316406, 0.365675, 13.747200,1149.977094
rajat31, 0.005120, 10158126.756616, 57.527294,904.085764
ramage02, 34.233345, 214.348353, 3.956736,1854.523768
rel8, 450.016266, 4.675182, 2.695168,780.622145
rel9, 283118.562500, 0.214002, 81.443840,743.923524
relat8, 453.259277, 7.534622, 3.221504,1060.106493
relat9, 707623.250000, 0.140931, 101.606400,981.492068
rgg_n_2_15_s0, 113.163261, 7.249957, 0.807936,1015.462595
rgg_n_2_16_s0, 450.381836, 3.889345, 1.534976,1141.184119
rgg_n_2_17_s0, 1796.126709, 2.077368, 3.058688,1219.874486
rgg_n_2_18_s0, 7172.731934, 1.104473, 6.227968,1272.018206
rgg_n_2_19_s0, 28664.544922, 0.584039, 12.854272,1302.384302
rgg_n_2_20_s0, 114603.046875, 0.307890, 26.668032,1323.123311
rgg_n_2_21_s0, 0.006144, 12073328.739623, 55.227390,1343.147558
rgg_n_2_22_s0, 0.005120, 30359198.766938, 113.887230,1364.850948
ri2010, 66.810883, 4.818377, 0.506880,635.101028
rim, 55.088127, 47.165781, 1.514496,1715.603484
rlfprim, 386.313202, 2.124476, 0.894976,917.022291
rma10, 233.751556, 25.999581, 3.375104,1800.668261
roadNet-CA, 404877.343750, 0.034986, 21.329920,664.091940
roadNet-PA, 124011.171875, 0.063660, 11.830272,667.314999
roadNet-TX, 202298.609375, 0.048636, 14.949376,658.147814
route, 94.341118, 5.611147, 0.616448,858.729257
s3dkq4m2, 862.525452, 14.308541, 6.278144,1965.784982
s3dkt3m2, 861.264893, 11.156684, 5.316608,1807.329080
