Dataset,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
dielFilterV3clx, 12.882944, 1633.723856, 52.336639, 402.149877, 14.216192, 1480.507069
dielFilterV3real, 37.115906, 1539.928816, 142.244858, 401.813139, 38.447105, 1486.610037
dixmaanl, 0.342016, 561.373484, 0.959488, 200.105395, 0.304128, 631.308941
e18, 0.215040, 465.672623, 0.634880, 157.727821, 0.192512, 520.166208
e40r0100, 0.354304, 999.931398, 1.007616, 351.601865, 0.302080, 1172.800826
ecl32, 0.363520, 669.744725, 1.034240, 235.405320, 0.310272, 784.684385
ecology1, 5.489664, 582.447296, 12.107776, 264.081536, 4.745216, 673.823925
ecology2, 5.501952, 581.145408, 12.310528, 259.731694, 4.646912, 688.077195
email-Enron, 1.177600, 199.816300, 0.986112, 238.617602, 0.494592, 475.753095
email-EuAll, 1.830912, 146.827811, 2.549760, 105.432978, 1.089536, 246.736971
engine, 2.297856, 1310.737748, 8.302592, 362.764618, 2.069504, 1455.366449
enron, 1.224704, 144.305494, 1.286144, 137.411921, 0.519168, 340.412956
epb2, 0.235520, 475.616837, 0.628736, 178.162657, 0.197632, 566.797280
epb3, 0.561152, 528.769406, 1.361920, 217.868891, 0.451584, 657.064893
eu-2005, 12.568576, 979.465752, 34.485249, 356.978422, 9.166848, 1342.935909
ex11, 0.608256, 1154.196161, 1.649664, 425.569511, 0.435200, 1613.158802
ex19, 0.237568, 700.105047, 0.676864, 245.725217, 0.222208, 748.499447
ex35, 0.256000, 570.519973, 0.672768, 217.092847, 0.197632, 739.015545
