Dataset,ASpT_time,ASpT_gflops
lhr10,0.401408,370.907219
lhr10c,0.408576,364.400052
lhr11,0.402432,371.725514
lhr11c,0.414720,360.711421
lhr14,0.470016,419.196621
lhr14c,0.462848,425.688599
lhr17,0.537600,454.732159
lhr17c,0.532480,459.104566
lhr34,0.888832,550.125305
lhr34c,1.060864,460.915794
lhr71,1.680384,581.997244
lhr71c,1.691648,578.121971
li,1.211392,713.392302
light_in_tissue,0.469248,553.851613
ljournal-2008,93.765633,539.374710
lowThrust_10,1.125376,126.253982
lowThrust_11,1.206272,118.739919
lowThrust_12,0.316416,454.273874
lowThrust_13,0.316416,454.888761
lowThrust_4,0.656384,156.929604
lowThrust_5,0.553984,229.169368
lowThrust_6,1.101824,120.439702
lowThrust_7,0.402432,336.451976
lowThrust_8,0.663552,208.762543
lowThrust_9,0.949248,148.050834
lp1,4.161536,252.740513
lp_ken_18,1.913056,119.823695
lp_nug20,0.668448,291.828247
lp_nug30,3.810176,263.345322
lp_osa_60,2.131968,422.692419
lp_pds_10,0.892128,77.194305
lp_pds_20,1.199520,124.128052
lpl1,0.860160,244.074407
lpl3,0.947200,67.922297
lung2,2.113664,149.144317
luxembourg_osm,1.450656,105.588419
m133-b3,3.067680,167.068280
m14b,3.468288,619.655310
m_t1,8.421376,741.242836
ma2010,3.301504,150.546665
mac_econ_fwd500,2.166560,376.158050
majorbasis,2.199040,509.434241
mario001,0.624576,211.247063
mario002,8.015040,167.783918
mark3jac040,0.281600,257.806820
mark3jac040sc,0.286880,253.061919
mark3jac060,0.354976,307.752638
mark3jac060sc,0.352288,310.100820
mark3jac080,0.427360,341.377763
mark3jac080sc,0.431264,338.287442
mark3jac100,0.499680,365.308989
mark3jac100sc,0.501792,363.771433
mark3jac120,0.596544,367.423006
mark3jac120sc,0.597760,366.675576
mark3jac140,0.674784,379.129319
mark3jac140sc,0.675744,378.590711
matrix-new_3,3.581952,478.621700
matrix_9,3.026944,448.568601
mc2depi,8.632672,155.704277
md2010,3.021632,148.344314
me2010,1.318848,162.797106
memchip,59.862110,158.339378
memplus,0.963584,83.787194
mi2010,6.448544,156.621029
minsurfo,0.636576,204.717238
mip1,10.108928,655.440848
mixtank_new,1.748992,730.035509
mk12-b3,0.387328,343.522803
mk12-b4,0.548512,363.864431
mk13-b5,2.889792,179.569466
mn2010,5.356800,146.607166
mo2010,6.808224,155.723943
mod2,0.950464,134.543127
mono_500Hz,5.032960,640.423202
mouse_gene,25.712641,721.009810
mri1,1.774528,212.725499
mri2,1.664160,218.886644
ms2010,3.671584,146.418335
msc10848,1.689600,465.825003
msc23052,1.406656,525.416979
msdoor,16.024063,808.421579
mt2010,2.939392,139.058522
mult_dcop_01,0.757760,163.239867
mult_dcop_02,0.750592,164.798774
mult_dcop_03,0.751616,164.523161
n4c6-b10,1.839552,506.704924
n4c6-b11,0.975840,544.889341
n4c6-b12,0.707456,301.126292
n4c6-b5,0.456544,435.800087
n4c6-b6,1.123616,415.119764
n4c6-b7,1.735488,481.513426
n4c6-b8,2.353216,486.838111
n4c6-b9,2.296736,519.855656
nasasrb,2.315840,739.898851
nc2010,6.024768,150.484935
ncvxbqp1,0.518048,432.352842
ncvxqp3,0.778304,411.120806
ncvxqp5,0.622080,437.207799
ncvxqp7,0.944256,389.699061
nd12k,12.393472,734.370937
nd2010,2.756224,145.345753
nd24k,24.779776,741.653437
nd6k,6.079488,726.094432
ne2010,10.027168,58.328188
neos,20.374559,47.959229
neos1,8.898912,43.121854
neos2,2.459712,178.254883
neos3,15.368736,85.577326
net100,2.146304,606.273885
net125,2.368512,696.389995
net150,2.814976,709.621686
net4-1,2.311168,676.153923
net50,1.006592,600.966408
net75,1.550336,614.762218
netherlands_osm,28.662785,109.018879
nh2010,0.857792,174.998131
nj2010,3.451648,153.881184
nlpkkt120,80.464096,770.297684
nlpkkt80,24.025280,764.652486
nm2010,4.135040,128.613224
nmos3,0.437152,565.981995
ns3Da,1.828864,587.765614
nsct,1.931264,231.222821
nug08-3rd,0.390208,243.424631
nv2010,1.890496,141.168623
ny2010,6.874496,159.154673
obstclae,0.626432,201.888026
offshore,4.330880,626.965101
oh2010,7.142112,158.450839
ohne2,9.290752,762.120062
oilpan,3.077120,748.167205
ok2010,5.278400,154.488998
olafu,1.318912,492.602862
olesnik0,1.076864,442.301199
onera_dual,1.547776,173.338159
onetone1,0.562176,388.306018
onetone2,0.394944,368.867271
opt1,2.726912,453.120302
or2010,4.084704,153.472000
p010,1.165312,64.806676
p2p-Gnutella31,0.860704,109.969141
pa2010,8.252704,159.634434
packing-500x100x100-b050,33.748062,663.295894
para-10,5.272576,657.452679
para-4,5.178368,658.274163
para-5,11.531264,300.614835
para-6,12.676096,273.465042
para-7,5.263360,658.603839
para-8,5.277696,656.814836
para-9,5.269504,657.835932
parabolic_fem,6.092928,385.981916
patents,62.091167,154.310046
patents_main,4.140768,86.699742
pattern1,7.564288,788.837809
pcrystk02,0.942080,658.004741
pcrystk03,1.507328,743.536838
pct20stif,2.565120,673.269216
pdb1HYS,4.032512,689.557643
pds-100,1.957824,358.275965
pds-30,1.809216,120.497717
pds-40,0.994368,300.444096
pds-50,1.173280,322.287195
pds-60,1.363360,337.780530
pds-70,1.532128,348.154729
pds-80,1.686944,352.002578
pds-90,1.826304,355.388289
pds10,0.395680,242.067119
pfinan512,0.863904,442.265437
pkustk01,1.050624,596.600870
pkustk02,1.451008,357.268887
pkustk03,2.671424,749.961933
pkustk04,4.184064,645.291864
pkustk05,2.015232,700.312470
pkustk06,2.293760,717.569177
pkustk07,2.620416,590.759102
pkustk08,2.966528,696.123375
pkustk09,1.473536,687.821397
pkustk10,3.604256,765.137056
pkustk11,4.319232,773.161453
pkustk12,6.427648,748.000331
pkustk13,5.611520,754.656389
pkustk14,12.158976,780.934420
pli,1.192960,724.414685
pltexpa,0.600608,152.441795
poisson3Da,0.411872,548.150106
poisson3Db,2.249728,675.622735
pre2,21.522432,177.207688
preferentialAttachment,1.786880,358.155441
psse0,3.137344,20.895535
psse2,0.290560,253.881051
pwt,0.446752,467.168529
pwtk,11.182080,665.889636
qa8fk,1.566400,678.479651
qa8fm,1.565728,678.770894
raefsky3,1.440768,661.321960
raefsky4,1.533952,554.327020
rail_20209,0.253312,351.776161
rail_79841,1.003328,353.333558
rajat09,0.795168,84.971630
rajat10,0.891264,93.568144
rajat15,0.993280,285.807347
rajat16,2.014208,203.723619
rajat17,2.037760,201.369031
rajat18,1.711104,181.456833
rajat20,1.925120,201.145280
rajat21,4.187136,289.399902
rajat22,1.305600,96.698036
rajat23,2.009088,177.413987
rajat24,3.917824,318.255846
rajat25,1.952768,199.015145
rajat26,1.370112,116.452733
rajat28,1.959936,198.287289
rajat29,7.654400,406.878769
rajat30,8.438784,468.342530
rajat31,79.002144,164.582900
ramage02,2.907136,631.021494
rel8,2.044704,257.238686
rel9,57.435074,263.723821
relat8,2.549056,334.941367
relat9,81.534782,305.777094
rgg_n_2_15_s0,0.437376,468.949379
rgg_n_2_16_s0,0.885728,494.421040
rgg_n_2_17_s0,1.829344,509.911653
rgg_n_2_18_s0,3.641600,543.860473
rgg_n_2_19_s0,7.360416,568.622822
rgg_n_2_20_s0,15.066592,585.485654
rgg_n_2_21_s0,30.988735,598.431446
rgg_n_2_22_s0,63.657185,610.453850
ri2010,0.596768,134.859773
rim,1.075200,604.137522
rlfprim,0.901920,227.490504
rma10,2.245632,676.584892
roadNet-CA,29.402143,120.442136
roadNet-PA,16.365440,120.597393
roadNet-TX,20.432735,120.381571
route,0.909312,145.539131
s3dkq4m2,4.752384,649.225761
s3dkt3m2,3.064384,783.914501
s4dkt3m2,3.060576,784.889861
sc2010,3.716384,153.811450
sc205-2r,0.517792,152.325571
scagr7-2r,0.526752,145.970477
scfxm1-2b,0.643616,110.428078
scfxm1-2r,0.909952,155.709666
scircuit,5.725568,107.189201
sctap1-2r,0.613312,194.475632
sd2010,1.801952,145.876294
sgpf5y6,2.152384,247.383659
shallow_water1,1.239872,169.142624
shallow_water2,1.256032,166.966448
shar_te2-b2,1.572128,244.499167
shar_te2-b3,3.066080,167.155451
shermanACb,1.187840,78.205281
ship_001,3.975168,747.718639
ship_003,6.439936,803.588985
shipsec1,6.259520,798.875715
shipsec5,8.052128,803.810070
shipsec8,5.393408,789.514812
shock-9,0.547360,166.711487
shuttle_eddy,0.222368,298.169518
shyy161,1.182432,178.486095
sinc15,0.578560,628.900448
sinc18,0.854016,729.785666
skirt,0.296576,424.082875
sls,12.794944,340.349643
smallworld,1.275584,501.728972
sme3Da,1.207296,463.786572
sme3Db,2.132992,624.418798
sme3Dc,2.923520,689.285443
smt,3.620864,663.388025
